,entryId,4161,4160,4168,4169,4170,4174,4175,4176,4173,4172,4171,4167,4166,4165,4159,4164,4163,4162
23,36968,24.0,25.0,28.0,71.0,70.0,68.0,67.0,67.0,34.0,23.0,23.0,28.0,25.0,26.0,32.0,31.0,32.0,28.0
24,36956,25.0,20.0,20.0,20.0,15.0,19.0,17.0,17.0,19.0,18.0,16.0,19.0,19.0,15.0,21.0,24.0,18.0,19.0
25,36988,26.0,27.0,30.0,27.0,31.0,24.0,29.0,25.0,28.0,35.0,26.0,27.0,32.0,23.0,24.0,26.0,22.0,27.0
26,36971,27.0,29.0,31.0,46.0,71.0,69.0,68.0,68.0,29.0,27.0,32.0,71.0,31.0,36.0,30.0,25.0,29.0,26.0
27,36980,28.0,30.0,26.0,25.0,24.0,34.0,32.0,32.0,,,,,,,,,,
28,36982,29.0,26.0,27.0,29.0,27.0,28.0,28.0,27.0,26.0,26.0,24.0,26.0,29.0,25.0,27.0,28.0,28.0,66.0
29,36963,30.0,28.0,24.0,26.0,19.0,25.0,22.0,23.0,23.0,21.0,65.0,21.0,22.0,67.0,25.0,69.0,48.0,62.0
30,36960,31.0,19.0,25.0,21.0,21.0,21.0,18.0,20.0,33.0,19.0,20.0,22.0,20.0,18.0,22.0,,,
31,36978,32.0,37.0,38.0,34.0,36.0,29.0,27.0,29.0,37.0,28.0,25.0,29.0,26.0,28.0,29.0,27.0,27.0,25.0
32,36969,33.0,32.0,32.0,31.0,29.0,33.0,34.0,31.0,30.0,30.0,28.0,30.0,33.0,31.0,36.0,34.0,30.0,29.0
33,36987,34.0,33.0,40.0,32.0,30.0,27.0,26.0,28.0,31.0,29.0,29.0,31.0,28.0,27.0,70.0,54.0,40.0,40.0
34,36983,35.0,35.0,33.0,35.0,28.0,30.0,30.0,34.0,32.0,25.0,33.0,32.0,30.0,33.0,37.0,35.0,31.0,37.0
35,36986,36.0,31.0,35.0,33.0,35.0,32.0,31.0,36.0,40.0,49.0,34.0,37.0,40.0,35.0,31.0,29.0,26.0,31.0
36,36996,37.0,36.0,36.0,36.0,40.0,35.0,35.0,37.0,36.0,33.0,31.0,34.0,37.0,34.0,43.0,33.0,38.0,34.0
37,36975,38.0,38.0,54.0,48.0,52.0,45.0,45.0,43.0,51.0,46.0,46.0,50.0,44.0,43.0,33.0,36.0,33.0,32.0
38,36972,39.0,47.0,37.0,37.0,34.0,37.0,39.0,44.0,43.0,37.0,38.0,35.0,34.0,46.0,,,,
39,36950,40.0,49.0,34.0,30.0,32.0,31.0,33.0,30.0,25.0,32.0,30.0,24.0,27.0,24.0,28.0,23.0,24.0,21.0
40,36985,41.0,48.0,51.0,47.0,39.0,41.0,37.0,38.0,47.0,38.0,39.0,43.0,36.0,37.0,40.0,41.0,44.0,47.0
